Denominación: DemoSA,Fecha: 2025-09-11,Moneda homogénea,Comparativo Actual/Anterior
ESTADO DE EVOLUCIÓN DEL PATRIMONIO NETO (RT 9)
Detalle,Capital Social,Ajustes Capital,Aportes Irrev.,Primas Emisión,Resultados Acum. - Ganancias Reservadas,Resultados Acum. - Diferidos,Resultados No Asignados,Totales - Actual,Totales - Anterior
Saldos al inicio,,,,,,,,,
Modificación saldos inicio (nota),,,,,,,,,
Saldos al inicio modificados,,,,,,,,,
Suscripción de acciones,,,,,,,,,
Capitalización de aportes irrevocables,,,,,,,,,
Distribución de resultados no asignados > Reserva legal,,,,,,,,,
Distribución > Otras reservas,,,,,,,,,
Distribución > Dividendos (efectivo o especie),,,,,,,,,
Distribución > Dividendos en acciones,,,,,,,,,
Desafectación de reservas,,,,,,,,,
Aportes irrevocables,,,,,,,,,
Absorción pérdidas acumuladas,,,,,,,,,
Variación en resultados diferidos,,,,,,,,,
Ganancia (Pérdida) del ejercicio,,,,,,,,,
Saldos al cierre,,,,,,,,,
