Denominación: DemoSA,Fecha: 2025-09-11,Moneda homogénea,Comparativo Actual/Anterior
ESTADO DE SITUACIÓN PATRIMONIAL (RT 9)
Rubro,Actual,Anterior,,Rubro,Actual,Anterior
Activo corriente,,,,Pasivo corriente,,
Caja y bancos,,,,Deudas comerciales,,
Inversiones temporarias,,,,Préstamos,,
Créditos por ventas,,,,Remuneraciones y cargas sociales,,
Otros créditos,,,,Cargas fiscales,,
Bienes de cambio,,,,Anticipos de clientes,,
Otros activos,,,,Dividendos a pagar,,
Total activo corriente,,,,Otras deudas,,
Activo no corriente,,,,Total pasivo corriente,,
Créditos por ventas,,,,Pasivo no corriente,,
Otros créditos,,,,Deudas,,
Bienes de cambio,,,,Total deudas,,
Bienes de uso,,,,Previsiones,,
Participaciones en sociedades,,,,Total pasivo no corriente,,
Otras inversiones,,,,TOTAL PASIVO,,
Activos intangibles,,,,PATRIMONIO NETO (según EEPN),,
Otros activos,,,,TOTAL PASIVO Y PN,,
Total activo no corriente,,,,,,
TOTAL ACTIVO,,,,,,
